Sample,TotalReads,Paired,concordance_0,concordance_1,concordance_over1,Percent_overallAlignment
atacHAK001,66233269,66233269,3884190,23638184,38710895,95.85%
atacHAK002,91756371,91756371,17090546,30341537,44324288,86.71%
atacHAK007,81105822,81105822,24647631,21569586,34888605,71.77%
atacHAK023,54252756,54252756,2433998,18987899,32830859,96.78%
atacHAK024,62717380,62717380,13466529,22507000,26743851,85.44%
atacHAK025,115703381,115703381,25436659,37594919,52671803,84.00%
