#Fastq_screen version: 0.13.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	99991	96150	96.15	129	0.13	388	0.39	88	0.09	3236	3.24
Mouse	99991	96464	96.47	129	0.13	107	0.11	509	0.51	2782	2.78
Yeast(sC)	99991	99109	99.12	1	0.00	1	0.00	8	0.01	872	0.87
Yeast(p)	99991	99147	99.16	1	0.00	0	0.00	11	0.01	832	0.83
Drosophila	99991	98901	98.91	1	0.00	3	0.00	37	0.04	1049	1.05
Acholeplasma_laidlawii	99991	99980	99.99	0	0.00	0	0.00	10	0.01	1	0.00
Mycoplasma_hominis	99991	99989	100.00	0	0.00	0	0.00	0	0.00	2	0.00
Mycoplasma_hyorhinis	99991	99986	100.00	0	0.00	0	0.00	2	0.00	3	0.00
Mycoplasma_pneumoniae	99991	99989	100.00	0	0.00	0	0.00	2	0.00	0	0.00
Ecoli	99991	96050	96.05	3705	3.71	188	0.19	21	0.02	27	0.03
PhiX	99991	99990	100.00	0	0.00	0	0.00	1	0.00	0	0.00
Vectors	99991	99538	99.55	27	0.03	54	0.05	214	0.21	158	0.16
Adapters	99991	99991	100.00	0	0.00	0	0.00	0	0.00	0	0.00

%Hit_no_genomes: 91.89
