#Fastq_screen version: 0.13.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	99972	89843	89.87	339	0.34	789	0.79	72	0.07	8929	8.93
Mouse	99972	90515	90.54	170	0.17	233	0.23	1267	1.27	7787	7.79
Yeast(sC)	99972	96473	96.50	0	0.00	6	0.01	2	0.00	3491	3.49
Yeast(p)	99972	96559	96.58	0	0.00	1	0.00	5	0.01	3407	3.41
Drosophila	99972	96396	96.42	0	0.00	17	0.02	45	0.05	3514	3.51
Acholeplasma_laidlawii	99972	99921	99.94	0	0.00	0	0.00	46	0.05	5	0.01
Mycoplasma_hominis	99972	99967	99.99	0	0.00	0	0.00	0	0.00	5	0.01
Mycoplasma_hyorhinis	99972	99967	99.99	0	0.00	0	0.00	5	0.01	0	0.00
Mycoplasma_pneumoniae	99972	99970	100.00	0	0.00	0	0.00	2	0.00	0	0.00
Ecoli	99972	85604	85.62	13526	13.53	665	0.67	55	0.06	122	0.12
PhiX	99972	99972	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	99972	98274	98.29	115	0.12	266	0.27	155	0.16	1162	1.16
Adapters	99972	99972	100.00	0	0.00	0	0.00	0	0.00	0	0.00

%Hit_no_genomes: 74.56
