Sample,TotalReads,SecondaryReads,SupplementaryReads,Duplicates,Mapped,Paired,Read1,Read2,ProperlyPaired,WithMateMapped,Singletons,MateDiffChr,MateDiffChrMapQover5
atacHAK034_WT,1356713142,1221812836,0,2211090,1356713142,134900306,67450153,67450153,134900306,134900306,0,0,0
atacHAK035_43AMut,973108344,877498850,0,1946752,973108344,95609494,47804747,47804747,95609494,95609494,0,0,0
atacHAK036_HIDMut,1157680810,1042956284,0,2201238,1157680810,114724526,57362263,57362263,114724526,114724526,0,0,0
atacHAK040_WT,552460500,500170356,0,2453136,552460500,52290144,26145072,26145072,52290144,52290144,0,0,0
atacHAK041_43AMut,812696532,734300962,0,4454526,812696532,78395570,39197785,39197785,78395570,78395570,0,0,0
atacHAK042_HIDMut,775625160,701531436,0,3818732,775625160,74093724,37046862,37046862,74093724,74093724,0,0,0
atacHAK043_WT,2078881404,1878247430,0,4665604,2078881404,200633974,100316987,100316987,200633974,200633974,0,0,0
atacHAK044_43AMut,2450437750,2211142564,0,5349334,2450437750,239295186,119647593,119647593,239295186,239295186,0,0,0
atacHAK045_HIDMut,1620714916,1460322704,0,2271948,1620714916,160392212,80196106,80196106,160392212,160392212,0,0,0
