kmer_frequencies	Number_of_reads
num_kmers_matched	1
0	91160986
1	17645
2	16273
3	18520
4	17895
5	19287
6	20410
7	18743
8	17596
9	19354
10	20366
11	20227
12	17608
13	16385
14	17906
15	17024
16	16279
17	15184
18	14084
19	15143
20	14562
21	12797
22	13753
23	11955
24	13039
25	11536
26	10674
27	10752
28	10908
29	9355
30	9869
31	8592
32	8718
33	8366
34	7457
35	6838
36	7150
37	6111
38	6398
39	5726
40	4986
41	4670
42	5746
43	4782
44	4249
45	4275
46	3105
47	3331
48	3229
49	3166
50	2326
51	2317
52	1916
53	2142
54	2683
55	1218
56	1216
57	1346
58	802
59	948
60	818
61	932
62	447
63	736
64	378
65	730
66	289
67	319
68	202
69	213
70	186
71	202
72	111
73	213
74	114
75	124
76	133
77	72
78	163
79	56
80	8
81	1
