Sample,TotalReads,SecondaryReads,SupplementaryReads,Duplicates,Mapped,Paired,Read1,Read2,ProperlyPaired,WithMateMapped,Singletons,MateDiffChr,MateDiffChrMapQover5
atacHAK001_,1213930653,1088174324,0,0,1213708245,125756329,62874380,62881949,123336912,125311513,222408,1105229,259550
atacHAK002_,1395586852,1257105570,0,0,1394989106,138481282,69198558,69282724,130766538,137285790,597746,5398842,2167996
atacHAK007_,1108287488,993064988,0,0,1107743243,115222500,57600665,57621835,111327990,114134010,544245,1780224,275655
atacHAK023_,1017791459,915520636,0,0,1017642543,102270823,51135002,51135821,100872718,101972991,148916,616515,206830
atacHAK024_,796675773,718214859,0,0,796191575,78460914,39144357,39316557,73172318,77492518,484198,3679614,1368539
atacHAK025_,1667705570,1501514781,0,0,1666822022,166190789,82976487,83214302,155631062,164423693,883548,7361759,2843696
