kmer_frequencies	Number_of_reads
num_kmers_matched	1
0	62247523
1	13103
2	7333
3	6861
4	6944
5	7046
6	7089
7	7826
8	8227
9	8257
10	8471
11	8875
12	8549
13	9623
14	9104
15	9815
16	10489
17	9981
18	9813
19	9890
20	10124
21	9880
22	9509
23	9477
24	9662
25	9464
26	9547
27	9116
28	9282
29	9287
30	8939
31	8711
32	8865
33	9065
34	8800
35	8759
36	8289
37	8606
38	8478
39	8236
40	8560
41	8092
42	7210
43	6802
44	7091
45	6452
46	6122
47	5653
48	5570
49	4844
50	4720
51	4621
52	4158
53	4081
54	3558
55	3228
56	3124
57	2479
58	2741
59	2248
60	2358
61	2059
62	1722
63	1631
64	1575
65	1459
66	1400
67	934
68	834
69	627
70	600
71	468
72	540
73	379
74	458
75	397
76	370
77	215
78	149
79	235
80	172
81	103
82	96
83	81
84	69
85	72
86	30
87	32
88	44
89	2
