kmer_frequencies	Number_of_reads
num_kmers_matched	1
0	86820020
1	17989
2	8887
3	8415
4	8037
5	7824
6	8325
7	9133
8	9757
9	9894
10	10104
11	10330
12	9624
13	10643
14	10129
15	10916
16	10682
17	10270
18	10456
19	9978
20	9656
21	10202
22	9614
23	9580
24	9270
25	9517
26	9220
27	9324
28	8973
29	8890
30	8925
31	8671
32	8693
33	8287
34	8282
35	8651
36	7872
37	7909
38	7439
39	7320
40	7230
41	7468
42	6117
43	6194
44	5995
45	5497
46	4496
47	4651
48	4218
49	3694
50	3673
51	3252
52	3337
53	3029
54	2618
55	2240
56	2216
57	1719
58	1931
59	1619
60	1533
61	1383
62	1179
63	994
64	967
65	670
66	781
67	492
68	364
69	355
70	391
71	310
72	390
73	238
74	206
75	157
76	228
77	165
78	122
79	155
80	119
81	68
82	43
83	61
84	13
85	16
86	3
