Sample,TotalReads,SecondaryReads,SupplementaryReads,Duplicates,Mapped,Paired,Read1,Read2,ProperlyPaired,WithMateMapped,Singletons,MateDiffChr,MateDiffChrMapQover5
atacHAK034_WT_,1380235285,1242840056,0,0,1379883222,137395229,68697375,68697854,134900306,136691103,352063,776055,250581
atacHAK035_43AMut_,991479905,893997780,0,0,991236421,97482125,48740191,48741934,95609494,96995157,243484,661043,221585
atacHAK036_HIDMut_,1180284639,1063205645,0,0,1179957948,117078994,58537768,58541226,114724526,116425612,326691,802418,281021
atacHAK040_WT_,581454908,526933392,0,0,581158913,54521516,27206806,27314710,52290144,53929526,295995,1170898,393000
atacHAK041_43AMut_,868368361,785735364,0,0,867906726,82632997,41263788,41369209,78395570,81709727,461635,2555225,1050067
atacHAK042_HIDMut_,814333135,737195768,0,0,813950391,77137367,38492789,38644578,74093724,76371879,382744,1605283,548251
atacHAK043_WT_,2126512708,1921094789,0,0,2125657429,205417919,102696070,102721849,200633974,203707361,855279,1447783,427471
atacHAK044_43AMut_,2503789572,2258968637,0,0,2502862173,244820935,122396849,122424086,239295186,242966137,927399,1654045,453165
atacHAK045_HIDMut_,1640119235,1477499629,0,0,1639815595,162619606,81307031,81312575,160392212,162012326,303640,655560,204589
