kmer_frequencies	Number_of_reads
num_kmers_matched	1
0	61025091
1	3794761
2	1004405
3	246367
4	69336
5	20694
6	5552
7	3374
8	1968
9	1959
10	1789
11	1965
12	2085
13	2207
14	2094
15	1933
16	2008
17	1866
18	1878
19	1811
20	1790
21	1740
22	1643
23	1698
24	1492
25	1464
26	1339
27	1350
28	1355
29	1229
30	1302
31	1167
32	1183
33	1086
34	1033
35	1034
36	964
37	948
38	869
39	891
40	892
41	831
42	809
43	757
44	783
45	714
46	696
47	667
48	568
49	582
50	545
51	567
52	489
53	541
54	482
55	434
56	324
57	325
58	349
59	319
60	273
61	265
62	236
63	228
64	204
65	212
66	174
67	165
68	140
69	139
70	125
71	134
72	110
73	68
74	81
75	67
76	53
77	56
78	26
79	23
80	14
81	29
82	18
83	7
84	13
85	11
86	3
87	1
