kmer_frequencies	Number_of_reads
num_kmers_matched	1
0	78825902
1	6581379
2	1751781
3	532745
4	157888
5	57793
6	13896
7	8042
8	6460
9	6891
10	6603
11	7180
12	7537
13	7717
14	8057
15	7687
16	8056
17	8158
18	8479
19	8282
20	8425
21	8322
22	8175
23	8534
24	8531
25	8653
26	8764
27	9228
28	9231
29	9155
30	9355
31	9248
32	9423
33	9370
34	9472
35	9334
36	9219
37	9023
38	8934
39	9256
40	9023
41	8797
42	8627
43	8691
44	8542
45	7958
46	7728
47	7630
48	7234
49	6804
50	6416
51	6365
52	5552
53	5564
54	5375
55	5129
56	4418
57	4067
58	4140
59	3207
60	3242
61	2966
62	3104
63	2620
64	2555
65	2316
66	2188
67	1726
68	1494
69	1542
70	1154
71	1119
72	862
73	588
74	772
75	611
76	535
77	525
78	326
79	275
80	238
81	209
82	133
83	170
84	102
85	68
86	16
87	9
88	5
89	1
