kmer_frequencies	Number_of_reads
num_kmers_matched	1
0	76101523
1	3742794
2	916134
3	220198
4	60701
5	16266
6	4530
7	2221
8	1335
9	1473
10	1296
11	1439
12	1503
13	1518
14	1593
15	1511
16	1473
17	1319
18	1408
19	1282
20	1231
21	1153
22	1085
23	1117
24	1020
25	952
26	939
27	917
28	965
29	771
30	816
31	770
32	775
33	688
34	594
35	638
36	552
37	580
38	554
39	530
40	521
41	446
42	446
43	441
44	429
45	395
46	358
47	377
48	334
49	314
50	290
51	311
52	272
53	242
54	258
55	203
56	160
57	160
58	183
59	142
60	147
61	116
62	105
63	113
64	116
65	106
66	80
67	81
68	60
69	66
70	66
71	57
72	40
73	27
74	44
75	26
76	14
77	26
78	20
79	17
80	12
81	9
82	8
83	8
84	6
85	5
86	1
