kmer_frequencies	Number_of_reads
num_kmers_matched	1
0	77483104
1	6657121
2	1782076
3	534205
4	155562
5	56215
6	14721
7	8742
8	7236
9	7671
10	7322
11	8125
12	8461
13	9058
14	9183
15	8957
16	9591
17	9410
18	9825
19	9675
20	10109
21	10193
22	10030
23	10634
24	10498
25	10690
26	10777
27	11516
28	11580
29	11268
30	11768
31	11651
32	11965
33	11983
34	11851
35	11853
36	12125
37	12133
38	11765
39	12378
40	12076
41	12168
42	11974
43	11971
44	11895
45	11582
46	11421
47	11464
48	10771
49	10093
50	10002
51	9486
52	9042
53	8764
54	8008
55	8242
56	7263
57	6644
58	6365
59	5761
60	5585
61	5231
62	5024
63	4846
64	4724
65	4554
66	3652
67	3526
68	2914
69	2860
70	2529
71	2599
72	2368
73	1292
74	1420
75	1257
76	1118
77	1062
78	597
79	484
80	431
81	325
82	264
83	252
84	238
85	229
86	147
87	28
88	7
