kmer_frequencies	Number_of_reads
num_kmers_matched	1
0	48508344
1	4120944
2	1144920
3	303292
4	87698
5	26553
6	6395
7	3149
8	1385
9	1132
10	993
11	1156
12	1155
13	1192
14	1203
15	1126
16	1164
17	1095
18	1209
19	1116
20	1094
21	1079
22	999
23	1086
24	1069
25	961
26	946
27	948
28	973
29	990
30	971
31	951
32	943
33	989
34	911
35	961
36	904
37	884
38	912
39	900
40	901
41	839
42	902
43	926
44	881
45	803
46	754
47	860
48	768
49	677
50	708
51	695
52	645
53	637
54	565
55	591
56	499
57	431
58	450
59	397
60	386
61	342
62	365
63	320
64	315
65	268
66	241
67	257
68	201
69	184
70	198
71	195
72	172
73	81
74	113
75	92
76	91
77	69
78	33
79	52
80	32
81	31
82	21
83	22
84	22
85	24
86	4
87	3
88	1
