kmer_frequencies	Number_of_reads
num_kmers_matched	1
0	55196563
1	5140102
2	1325651
3	424318
4	119904
5	48080
6	10397
7	6307
8	5464
9	5695
10	5621
11	6318
12	6550
13	6957
14	7128
15	7015
16	7392
17	7341
18	7721
19	7673
20	7758
21	7800
22	7757
23	8248
24	8086
25	8205
26	8427
27	8607
28	8930
29	8679
30	9052
31	8982
32	9309
33	9373
34	9069
35	8921
36	9075
37	9021
38	9158
39	9418
40	9144
41	9013
42	9182
43	8907
44	8874
45	8689
46	8498
47	8416
48	7878
49	7368
50	7382
51	7013
52	6666
53	6549
54	6184
55	6325
56	5442
57	4904
58	4877
59	4426
60	4187
61	3851
62	3938
63	3652
64	3646
65	3329
66	2758
67	2567
68	2193
69	2239
70	1939
71	1916
72	1768
73	1065
74	1192
75	959
76	948
77	833
78	485
79	463
80	357
81	336
82	221
83	222
84	190
85	188
86	90
87	26
88	12
89	1
