kmer_frequencies	Number_of_reads
num_kmers_matched	1
0	85481689
1	19108
2	9435
3	9260
4	9035
5	8969
6	9339
7	10152
8	10583
9	10672
10	10951
11	11197
12	10987
13	12119
14	11632
15	12541
16	13219
17	12936
18	12438
19	12548
20	12802
21	12695
22	12557
23	12416
24	12442
25	12183
26	12352
27	12364
28	11984
29	11944
30	11872
31	11729
32	11730
33	12017
34	12084
35	11796
36	10981
37	11259
38	11436
39	10904
40	11580
41	10068
42	9628
43	9203
44	9291
45	8562
46	8175
47	7446
48	7345
49	6364
50	6161
51	6150
52	5310
53	5254
54	4758
55	4222
56	4144
57	3428
58	3440
59	2878
60	2718
61	2620
62	2300
63	2129
64	2113
65	2007
66	1652
67	1093
68	1071
69	781
70	769
71	582
72	614
73	513
74	577
75	477
76	421
77	246
78	139
79	162
80	151
81	67
82	101
83	113
84	73
85	71
86	45
87	65
88	65
89	3
