kmer_frequencies	Number_of_reads
num_kmers_matched	1
0	66154614
1	9937
2	3679
3	2352
4	2041
5	2064
6	1987
7	2182
8	2229
9	2188
10	2133
11	2165
12	1917
13	2193
14	1957
15	1978
16	2002
17	1892
18	1680
19	1599
20	1684
21	1572
22	1504
23	1370
24	1320
25	1289
26	1233
27	1225
28	1064
29	1042
30	972
31	937
32	916
33	890
34	825
35	834
36	774
37	728
38	727
39	642
40	741
41	662
42	558
43	572
44	550
45	485
46	514
47	412
48	452
49	323
50	339
51	327
52	269
53	289
54	262
55	240
56	207
57	195
58	172
59	116
60	151
61	135
62	110
63	111
64	95
65	99
66	96
67	58
68	55
69	34
70	43
71	25
72	34
73	26
74	29
75	30
76	37
77	16
78	14
79	17
80	7
81	6
82	3
83	4
84	1
85	3
86	3
87	3
88	2
