#Fastq_screen version: 0.13.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	100004	95562	95.56	148	0.15	475	0.47	92	0.09	3727	3.73
Mouse	100004	95904	95.91	157	0.16	134	0.13	634	0.63	3175	3.17
Yeast(sC)	100004	98945	98.95	0	0.00	2	0.00	3	0.00	1054	1.05
Yeast(p)	100004	98967	98.96	0	0.00	0	0.00	6	0.01	1031	1.03
Drosophila	100004	98807	98.80	2	0.00	8	0.01	37	0.04	1150	1.15
Acholeplasma_laidlawii	100004	99986	99.98	0	0.00	0	0.00	17	0.02	1	0.00
Mycoplasma_hominis	100004	100002	100.00	0	0.00	0	0.00	0	0.00	2	0.00
Mycoplasma_hyorhinis	100004	99998	100.00	0	0.00	0	0.00	4	0.00	2	0.00
Mycoplasma_pneumoniae	100004	100004	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Ecoli	100004	92521	92.52	7023	7.02	364	0.36	37	0.04	59	0.06
PhiX	100004	100004	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	100004	99152	99.16	91	0.09	155	0.15	243	0.24	363	0.36
Adapters	100004	99883	99.88	50	0.05	0	0.00	70	0.07	1	0.00

%Hit_no_genomes: 87.36
