#Fastq_screen version: 0.13.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	99974	96101	96.12	95	0.10	320	0.32	87	0.09	3371	3.37
Mouse	99974	96328	96.34	86	0.09	105	0.11	488	0.49	2967	2.97
Yeast(sC)	99974	98891	98.92	0	0.00	1	0.00	10	0.01	1072	1.07
Yeast(p)	99974	98922	98.94	0	0.00	0	0.00	7	0.01	1045	1.05
Drosophila	99974	98758	98.78	2	0.00	8	0.01	31	0.03	1175	1.18
Acholeplasma_laidlawii	99974	99965	99.99	0	0.00	0	0.00	8	0.01	1	0.00
Mycoplasma_hominis	99974	99972	100.00	0	0.00	0	0.00	0	0.00	2	0.00
Mycoplasma_hyorhinis	99974	99971	100.00	0	0.00	0	0.00	2	0.00	1	0.00
Mycoplasma_pneumoniae	99974	99973	100.00	0	0.00	0	0.00	1	0.00	0	0.00
Ecoli	99974	96549	96.57	3228	3.23	156	0.16	19	0.02	22	0.02
PhiX	99974	99974	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	99974	99353	99.38	114	0.11	66	0.07	117	0.12	324	0.32
Adapters	99974	99973	100.00	0	0.00	0	0.00	0	0.00	1	0.00

%Hit_no_genomes: 92.27
