Sample,ReadsinPeaks,NonOverlappingReads,AmbiguousReads,FRIP
atacHAK040_WT_allOverlaps_XenLa10.1_500bptiles,276230250,0,0,1
atacHAK040_WT_largestOverlap_XenLa10.1_500bptiles,265084383,0,11145867,0.95965
atacHAK040_WT_XenLa10.1_500bptiles,203109019,0,73121231,0.735289
atacHAK041_43AMut_allOverlaps_XenLa10.1_500bptiles,406348266,0,0,1
atacHAK041_43AMut_largestOverlap_XenLa10.1_500bptiles,389608590,0,16739676,0.958805
atacHAK041_43AMut_XenLa10.1_500bptiles,295259511,0,111088755,0.726617
atacHAK042_HIDMut_allOverlaps_XenLa10.1_500bptiles,387812580,0,0,1
atacHAK042_HIDMut_largestOverlap_XenLa10.1_500bptiles,372238239,0,15574341,0.959841
atacHAK042_HIDMut_XenLa10.1_500bptiles,283909662,0,103902918,0.73208
atacHAK043_WT_allOverlaps_XenLa10.1_500bptiles,1039440702,0,0,1
atacHAK043_WT_largestOverlap_XenLa10.1_500bptiles,1002566753,0,36873949,0.964525
atacHAK043_WT_XenLa10.1_500bptiles,788013958,0,251426744,0.758113
atacHAK044_43AMut_allOverlaps_XenLa10.1_500bptiles,1225218875,0,0,1
atacHAK044_43AMut_largestOverlap_XenLa10.1_500bptiles,1182909671,0,42309204,0.965468
atacHAK044_43AMut_XenLa10.1_500bptiles,938318436,0,286900439,0.765837
atacHAK045_HIDMut_allOverlaps_XenLa10.1_500bptiles,810357458,0,0,1
atacHAK045_HIDMut_largestOverlap_XenLa10.1_500bptiles,782150800,0,28206658,0.965192
atacHAK045_HIDMut_XenLa10.1_500bptiles,622022704,0,188334754,0.767591
