Sample,ReadsinPeaks,NonOverlappingReads,AmbiguousReads,FRIP
atacHAK034_WT_allOverlaps_HIRAmut_peakset,277254405,401102166,0,0.408715
atacHAK034_WT_allOverlaps_IvsM_peakset,300918134,377438437,0,0.443599
atacHAK034_WT_HIRAmut_peakset,264254348,401102166,13000057,0.389551
atacHAK034_WT_IvsM_peakset,287270378,377438437,13647756,0.42348
atacHAK034_WT_largestOverlap_HIRAmut_peakset,273007006,401102166,4247399,0.402454
atacHAK034_WT_largestOverlap_IvsM_peakset,296275255,377438437,4642879,0.436754
atacHAK035_43AMut_allOverlaps_HIRAmut_peakset,199562185,286991987,0,0.410154
atacHAK035_43AMut_allOverlaps_IvsM_peakset,217752413,268801759,0,0.44754
atacHAK035_43AMut_HIRAmut_peakset,189863241,286991987,9698944,0.39022
atacHAK035_43AMut_IvsM_peakset,207625679,268801759,10126734,0.426727
atacHAK035_43AMut_largestOverlap_HIRAmut_peakset,196477939,286991987,3084246,0.403815
atacHAK035_43AMut_largestOverlap_IvsM_peakset,214392485,268801759,3359928,0.440634
atacHAK036_HIDMut_allOverlaps_HIRAmut_peakset,234175649,344664756,0,0.40456
atacHAK036_HIDMut_allOverlaps_IvsM_peakset,254546078,324294327,0,0.439752
atacHAK036_HIDMut_HIRAmut_peakset,222894898,344664756,11280751,0.385071
atacHAK036_HIDMut_IvsM_peakset,242702524,324294327,11843554,0.419291
atacHAK036_HIDMut_largestOverlap_HIRAmut_peakset,230595758,344664756,3579891,0.398375
atacHAK036_HIDMut_largestOverlap_IvsM_peakset,250646999,324294327,3899079,0.433016
atacHAK040_WT_allOverlaps_HIRAmut_peakset,120367117,155863133,0,0.435749
atacHAK040_WT_allOverlaps_IvsM_peakset,130619459,145610791,0,0.472864
atacHAK040_WT_HIRAmut_peakset,114481148,155863133,5885969,0.414441
atacHAK040_WT_IvsM_peakset,124661745,145610791,5957714,0.451296
atacHAK040_WT_largestOverlap_HIRAmut_peakset,118671512,155863133,1695605,0.429611
atacHAK040_WT_largestOverlap_IvsM_peakset,128819425,145610791,1800034,0.466348
atacHAK041_43AMut_allOverlaps_HIRAmut_peakset,177271676,229076590,0,0.436256
atacHAK041_43AMut_allOverlaps_IvsM_peakset,192364510,213983756,0,0.473398
atacHAK041_43AMut_HIRAmut_peakset,168387279,229076590,8884397,0.414392
atacHAK041_43AMut_IvsM_peakset,183402570,213983756,8961940,0.451343
atacHAK041_43AMut_largestOverlap_HIRAmut_peakset,174898789,229076590,2372887,0.430416
atacHAK041_43AMut_largestOverlap_IvsM_peakset,189857585,213983756,2506925,0.467229
atacHAK042_HIDMut_allOverlaps_HIRAmut_peakset,168592403,219220177,0,0.434726
atacHAK042_HIDMut_allOverlaps_IvsM_peakset,183052126,204760454,0,0.472012
atacHAK042_HIDMut_HIRAmut_peakset,160239922,219220177,8352481,0.413189
atacHAK042_HIDMut_IvsM_peakset,174570241,204760454,8481885,0.450141
atacHAK042_HIDMut_largestOverlap_HIRAmut_peakset,166290063,219220177,2302340,0.42879
atacHAK042_HIDMut_largestOverlap_IvsM_peakset,180603746,204760454,2448380,0.465699
atacHAK043_WT_allOverlaps_HIRAmut_peakset,456287763,583152939,0,0.438974
atacHAK043_WT_allOverlaps_IvsM_peakset,486981056,552459646,0,0.468503
atacHAK043_WT_HIRAmut_peakset,433589211,583152939,22698552,0.417137
atacHAK043_WT_IvsM_peakset,463940665,552459646,23040391,0.446337
atacHAK043_WT_largestOverlap_HIRAmut_peakset,449028349,583152939,7259414,0.43199
atacHAK043_WT_largestOverlap_IvsM_peakset,479309810,552459646,7671246,0.461123
atacHAK044_43AMut_allOverlaps_HIRAmut_peakset,537260960,687957915,0,0.438502
atacHAK044_43AMut_allOverlaps_IvsM_peakset,571464060,653754815,0,0.466418
atacHAK044_43AMut_HIRAmut_peakset,511364605,687957915,25896355,0.417366
atacHAK044_43AMut_IvsM_peakset,544867234,653754815,26596826,0.44471
atacHAK044_43AMut_largestOverlap_HIRAmut_peakset,528769788,687957915,8491172,0.431572
atacHAK044_43AMut_largestOverlap_IvsM_peakset,562376087,653754815,9087973,0.459001
atacHAK045_HIDMut_allOverlaps_HIRAmut_peakset,338882011,471475447,0,0.418188
atacHAK045_HIDMut_allOverlaps_IvsM_peakset,360895814,449461644,0,0.445354
atacHAK045_HIDMut_HIRAmut_peakset,322291739,471475447,16590272,0.397716
atacHAK045_HIDMut_IvsM_peakset,343854865,449461644,17040949,0.424325
atacHAK045_HIDMut_largestOverlap_HIRAmut_peakset,333272179,471475447,5609832,0.411266
atacHAK045_HIDMut_largestOverlap_IvsM_peakset,354923404,449461644,5972410,0.437984
atacHAK034_WT_allOverlaps_XenLa10.1_500bptiles,678356571,0,0,1
atacHAK034_WT_largestOverlap_XenLa10.1_500bptiles,654893713,0,23462858,0.965412
atacHAK034_WT_XenLa10.1_500bptiles,519780933,0,158575638,0.766236
atacHAK035_43AMut_allOverlaps_XenLa10.1_500bptiles,486554172,0,0,1
atacHAK035_43AMut_largestOverlap_XenLa10.1_500bptiles,469086317,0,17467855,0.964099
atacHAK035_43AMut_XenLa10.1_500bptiles,368725345,0,117828827,0.75783
atacHAK036_HIDMut_allOverlaps_XenLa10.1_500bptiles,578840405,0,0,1
atacHAK036_HIDMut_largestOverlap_XenLa10.1_500bptiles,558692943,0,20147462,0.965193
atacHAK036_HIDMut_XenLa10.1_500bptiles,440451961,0,138388444,0.760921
