#Fastq_screen version: 0.13.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	100007	93215	93.20	317	0.32	671	0.67	46	0.05	5758	5.76
Mouse	100007	93594	93.58	270	0.27	328	0.33	1019	1.02	4796	4.80
Yeast(sC)	100007	97858	97.85	0	0.00	2	0.00	1	0.00	2146	2.15
Yeast(p)	100007	97905	97.90	0	0.00	0	0.00	3	0.00	2099	2.10
Drosophila	100007	97760	97.75	2	0.00	10	0.01	27	0.03	2208	2.21
Acholeplasma_laidlawii	100007	99989	99.98	0	0.00	0	0.00	17	0.02	1	0.00
Mycoplasma_hominis	100007	100006	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Mycoplasma_hyorhinis	100007	100006	100.00	0	0.00	0	0.00	1	0.00	0	0.00
Mycoplasma_pneumoniae	100007	100007	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Ecoli	100007	92827	92.82	6776	6.78	333	0.33	21	0.02	50	0.05
PhiX	100007	100007	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	100007	99219	99.21	69	0.07	121	0.12	88	0.09	510	0.51
Adapters	100007	100006	100.00	0	0.00	0	0.00	1	0.00	0	0.00

%Hit_no_genomes: 85.17
