#Fastq_screen version: 0.13.0	#Aligner: bowtie2	#Reads in subset: 100000
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	100007	93246	93.24	341	0.34	728	0.73	49	0.05	5643	5.64
Mouse	100007	93785	93.79	255	0.25	311	0.31	975	0.97	4681	4.68
Yeast(sC)	100007	97801	97.80	0	0.00	2	0.00	0	0.00	2204	2.20
Yeast(p)	100007	97871	97.87	0	0.00	0	0.00	3	0.00	2133	2.13
Drosophila	100007	97696	97.69	2	0.00	22	0.02	31	0.03	2256	2.26
Acholeplasma_laidlawii	100007	99988	99.98	0	0.00	0	0.00	18	0.02	1	0.00
Mycoplasma_hominis	100007	100006	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Mycoplasma_hyorhinis	100007	100006	100.00	0	0.00	0	0.00	1	0.00	0	0.00
Mycoplasma_pneumoniae	100007	100007	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Ecoli	100007	92762	92.75	6828	6.83	329	0.33	37	0.04	51	0.05
PhiX	100007	100007	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	100007	99501	99.49	37	0.04	125	0.12	157	0.16	187	0.19
Adapters	100007	100007	100.00	0	0.00	0	0.00	0	0.00	0	0.00

%Hit_no_genomes: 85.24
