kmer_frequencies	Number_of_reads
0	115054902
num_kmers_matched	1
1	19249
2	18265
3	20589
4	19788
5	21136
6	22578
7	20534
8	19298
9	21175
10	22432
11	22213
12	19352
13	17946
14	19408
15	18493
16	17818
17	16470
18	15169
19	16415
20	15640
21	14117
22	15265
23	12973
24	14314
25	12638
26	11548
27	11540
28	11705
29	10019
30	10621
31	9071
32	9264
33	9107
34	7987
35	7433
36	7583
37	6543
38	6925
39	6180
40	5297
41	5106
42	6153
43	5203
44	4736
45	4471
46	3314
47	3608
48	3464
49	3549
50	2443
51	2483
52	2086
53	2313
54	2729
55	1310
56	1292
57	1456
58	835
59	928
60	883
61	967
62	498
63	814
64	382
65	776
66	316
67	354
68	198
69	228
70	204
71	219
72	113
73	250
74	110
75	160
76	142
77	92
78	141
79	43
80	12
