kmer_frequencies	Number_of_reads
num_kmers_matched	1
0	62304308
1	12492
2	11533
3	12788
4	12526
5	13503
6	14299
7	13122
8	12371
9	13583
10	14312
11	14176
12	12508
13	11507
14	12386
15	11907
16	11048
17	10549
18	9719
19	10458
20	9997
21	8799
22	9554
23	8332
24	9135
25	7986
26	7497
27	7394
28	7356
29	6326
30	6675
31	5714
32	6075
33	5678
34	5156
35	4701
36	4848
37	4188
38	4374
39	3856
40	3440
41	3307
42	3916
43	3370
44	2948
45	2830
46	1910
47	2243
48	2308
49	2272
50	1584
51	1586
52	1383
53	1490
54	1808
55	803
56	820
57	931
58	521
59	643
60	605
61	629
62	307
63	506
64	245
65	515
66	206
67	242
68	115
69	163
70	133
71	141
72	65
73	201
74	81
75	92
76	99
77	46
78	95
79	33
80	11
81	1
