kmer_frequencies	Number_of_reads
num_kmers_matched	1
0	66178086
1	2886
2	2551
3	2816
4	2463
5	2664
6	2677
7	2413
8	2276
9	2403
10	2297
11	2047
12	1811
13	1715
14	1616
15	1439
16	1377
17	1347
18	1102
19	1264
20	1074
21	963
22	972
23	836
24	872
25	783
26	671
27	715
28	689
29	595
30	582
31	544
32	533
33	482
34	447
35	379
36	411
37	353
38	383
39	329
40	276
41	271
42	332
43	274
44	231
45	239
46	167
47	171
48	172
49	177
50	95
51	120
52	90
53	112
54	120
55	51
56	44
57	71
58	37
59	47
60	42
61	38
62	28
63	30
64	16
65	37
66	10
67	16
68	10
69	10
70	14
71	9
72	6
73	15
74	5
75	4
76	8
77	2
78	9
