kmer_frequencies	Number_of_reads
num_kmers_matched	1
0	54206786
1	1822
2	1585
3	1736
4	1568
5	1731
6	1728
7	1616
8	1577
9	1626
10	1637
11	1584
12	1426
13	1329
14	1403
15	1230
16	1181
17	1102
18	990
19	1131
20	1065
21	981
22	1011
23	816
24	929
25	835
26	764
27	680
28	763
29	590
30	689
31	574
32	588
33	538
34	483
35	473
36	497
37	432
38	464
39	383
40	326
41	305
42	410
43	338
44	280
45	274
46	205
47	239
48	234
49	201
50	156
51	177
52	135
53	161
54	179
55	73
56	84
57	88
58	59
59	63
60	58
61	46
62	27
63	36
64	21
65	50
66	20
67	27
68	13
69	16
70	12
71	26
72	5
73	21
74	7
75	10
76	12
77	3
78	13
79	3
